Autor,ML o DL,Algoritmo Nombre,Algoritmo,Arquitectura,Pais de estudio,Región de estudio,Fuente de datos,Nombre Metrica,Metrica de evaluacion,Repositorio,Source Category,Source type,Product,Feature name,Temporal res.,Spatial res.,Output deseado,Link repository
,ML,Support Vector Machine (SVM),SVM,,,,, F1-score,F1,,Remote sensing,,,NDVI,,500 m × 500 m,Mapa de alerta de intensidad de incendios,
,ML,Gradient Boosting Trees (GBT),GBT,,,,,Precisión,PREC,,Remote sensing,,,EVI,,500 m × 500 m,Probabilidad de ocurrencia de incendios,
,DL,Convolutional Neural Networks (CNN),CNN,,,,,Recall,REC,,Topograhic,,,Land Cover Type,,500 m × 500 m,Probabilidad de intensidad de incendios,
,ML,K-nearest Neighbour (kNN),KNN,,,,,Especificidad,Spec,,Meteorological,,,Precipitation,,,,
,,,,,,,,MSE,MSE,,Meteorological,,,Air temperature,,,,
,,,,,,,,RMSE,RMSE,,Meteorological,,,Dew point temperature,,,,
,,,,,,,,MAE,MAE,,Meteorological,,,Wet bulb temperature,,,,
,,,,,,,,"R2 Score, ",R²,,Meteorological,,,Relative humidity,,,,
,,,,,,,,Error absoluto mediano,MedAE,,Meteorological,,,Wind speed,,,,
,,,,,,,,Error máximo,MaxE,,Meteorological,,,Wind direction,,,,
,,,,,,,,,,,Meteorological,,,Mean sea level pressure,,,,
Hong et al - 2024,DL,SBT-FireNet,SBT-FireNet,No,China,Fujian,Imágenes del satélite Himawari-8,Exactitud (Accuracy),ACC,No,Remote sensing,,,"Imágenes satelitales Himawari-8 (bandas 3, 4, 6, 7, 14 y 15)",,2 km,Detección de puntos de fuego en imágenes satelitales en tiempo casi real,
,,"(una red neuronal profunda con módulos de extracción de características espaciales, de banda y de series temporales)",,,,Guangdong,,Precisión (Precision),PREC,,Meteorological,,,"Máscaras de nubes, agua y superficie subyacente",,,,
,,,,,,Guangxi,,Recall (exhaustividad),REC,,,,,,,,,
,,,,,,Hunan,,F1-score,F1,,,,,,,,,
,,,,,,Jiangxi,,Tasa de detección errónea (ED),ED,,,,,,,,,
,,,,,,Hainan,,Tasa de detección perdida (MD),MD,,,,,,,,,
,,,,,,Yunnan ,,,,,,,,,,,,
,,,,,,Guizhou,,,,,,,,,,,,
Hu et al - 2024 ,ML,Support Vector Machine (SVM,SVM,No,USA,"California, Estados Unidos",CalFire,Kappa.,Kappa,No,Remote sensing,,Sentinel-2 MSI,Reflectancia TOA (Top Of Atmosphere),,20m,Mapeo de la progresión del área quemada en tiempo casi real,
,DL,HRNet (High-Resolution Network),HRNet,,,,Imágenes multi espectrales de Sentinel-2 y Landsat-8.,Intersection over Union (IoU).,IoU,,Remote sensing,,Landsat-8 OLI,Reflectancia TOA,,20m,,
,,,,,,,,,,,Remote sensing,,Sentinel-2,"Bandas espectrales B12, B11 y B8A",,20m,,
,,,,,,,,,,,Remote sensing,,Landsat-8 OLI,"Bandas espectrales B7, B6 y B5",,20m,,
Ismail et al - 2024 ,ML,Support Vector Machine (One-Class SVM),SVM,No,USA,"California, Estados Unidos","California: Datos de agencias federales de gestión de tierras de EE. UU. (filtrados para el estado de California, 2012-2016)",Exactitud (Accuracy),ACC,No,Meteorological,Weather Features,,Precipitation,,4km,Probabilidad de ignición de incendios forestales,
,,Isolation Forest,Isolation Forest,,Australia ,"Australia Occidental, Australia","Australia Occidental: Datos del Departamento de Biodiversidad, Conservación y Atracciones (2001-2020)",Precisión (Precision),PREC,,Meteorological,Weather Features,,Temperatures Min ,,4km,,
,,Autoencoder (AE),AE,,,,,Recall (exhaustividad),REC,,Meteorological,Weather Features,,Temperatures Max  ,,4km,,
,,Variational Autoencoder (VAE),VAE,,,,,F1-score,F1,,Meteorological,Weather Features,,Temperatures Mean ,,4km,,
,,,,,,,,,,,Meteorological,Weather Features,,Mean Dew Point Temperature,,4km,,
,,,,,,,,,,,Meteorological,Weather Features,,Max Vapor Pressure Deficit,,4km,,
,,,,,,,,,,,Meteorological,Weather Features,,Min Vapor Pressure Deficit,,4km,,
,,,,,,,,,,,Meteorological,Weather Features,,Mean Sea Level Pressure,,4km,,
,,,,,,,,,,,Meteorological,Weather Features,,Station Pressure,,4km,,
,,,,,,,,,,,Meteorological,Weather Features,,Max  Sustained Wind Speed,,4km,,
,,,,,,,,,,,Meteorological,Weather Features,,Mean Sustained Wind Speed,,4km,,
,,,,,,,,,,,Meteorological,LFMC Features,MODIS,Standard Deviation of live fuel moisture content,,250m,,
,,,,,,,,,,,Meteorological,LFMC Features,MODIS,Mean Standard Deviation of live fuel moisture content,,250m,,
,,,,,,,,,,,Socio economic,Social Features,,Population,,-,,
Ji et al - 2024,DL,SLA-ConvLSTM (ConvLSTM con conocimiento de ubicación estática),SLA-ConvLSTM,No,Global,Global,SeasFire cube,Exactitud (Accuracy),ACC,No,Meteorological,Local/Global Variables,,Mean sea level pressure,,,Predicción del peligro de incendios forestales a nivel global,
,,,,,,,,Precisión (Precision),PREC,,Meteorological,Local/Global Variables,,Total precipitation,,,,
,,,,,,,,Recall (exhaustividad),REC,,Meteorological,Local/Global Variables,,Vapor pressure deficit,,,,
,,,,,,,,F1-score,F1,,Meteorological,Local/Global Variables,,Sea surface temperature,,,,
,,,,,,,,Coeficiente Kappa,Kappa,,Meteorological,Local/Global Variables,,Temperature at 2 m—mean,,,,
,,,,,,,,Curva ROC y AUC,AUC,,Meteorological,Local/Global Variables,,Surface solar radiation downwards,,,,
,,,,,,,,,,,Meteorological,Local/Global Variables,,Volumetric soil water level 1,,,,
,,,,,,,,,,,Remote sensing,Local/Global Variables,MODIS,Land surface temperature at day,,,,
,,,,,,,,,,,Remote sensing,Local/Global Variables,MODIS,Normalized Difference Vegetation Index,,,,
,,,,,,,,,,,Socio economic,Local/Global Variables,GPWv4,Population density,,,,
,,,,,,,,,,,Remote sensing,Local/Global Variables,ESA CCI Land Cove,Leaf Area Index,,,,
,,,,,,,,,,,Topograhic,Local/Global Variables,ESA CCI Land Cove,Forest,,,,
,,,,,,,,,,,Topograhic,Local/Global Variables,ESA CCI Land Cove,Grassland,,,,
,,,,,,,,,,,Topograhic,Local/Global Variables,ESA CCI Land Cove,"Sparse vegetation, bare areas, permanent snow and ice",,,,
,,,,,,,,,,,Remote sensing,Static Variables,,Cosine of longitude,,,,
,,,,,,,,,,,Remote sensing,Static Variables,,Sine of longitude,,,,
,,,,,,,,,,,Remote sensing,Static Variables,,Cosine of latitude,,,,
,,,,,,,,,,,Remote sensing,Static Variables,,Sine of latitude,,,,
,,,,,,,,,,,Meteorological,Climatic Indices,,Western Pacific Index,,,,
,,,,,,,,,,,Meteorological,Climatic Indices,,Pacific North American Index,,,,
,,,,,,,,,,,Meteorological,Climatic Indices,,North Atlantic Oscillation,,,,
,,,,,,,,,,,Meteorological,Climatic Indices,,Southern Oscillation Index,,,,
,,,,,,,,,,,Meteorological,Climatic Indices,,Global Mean Land/Ocean Temperature,,,,
,,,,,,,,,,,Meteorological,Climatic Indices,,Pacific Decadal Oscillation,,,,
,,,,,,,,,,,Meteorological,Climatic Indices,,Eastern Asia/Western Russia,,,,
,,,,,,,,,,,Meteorological,Climatic Indices,,East Pacific/North Pacific Oscillation,,,,
,,,,,,,,,,,Meteorological,Climatic Indices,,Nino 3.4 Anomaly,,,,
,,,,,,,,,,,Meteorological,Climatic Indices,,Bivariate ENSO Timeseries,,,,
,,,,,,,,,,,Remote sensing,Target,,Burned areas from GWIS,,,Tendencias cambiantes de la ocurrencia de incendios forestales,
Jing et al - 2024 ,ML,Random Forest,RF,No,China,Región forestal del sur de China,MODIS,Exactitud (Accuracy),ACC,No,Remote sensing,Fire hotspot data,NASA Earthdata,Fire occurrence information,,1 km,Resultados del análisis de autocorrelación espacial,
,,,,,,,,Precisión (Precision),PREC,,Remote sensing,Land-use data,RESDC,Forest coverage data,,1 km,Resultados de la elipse de desviación estándar,
,,,,,,,,Recall (exhaustividad),REC,,Meteorological,Meteorological data,CMA Data,"Daily avg. surface temp., rel. humidity, max. temp., precip., etc.",,-,Evaluación de la precisión predictiva para la ocurrencia de incendios forestales,
,,,,,,,,F1-score,F1,,Socio economic,Economic and community,"RESDC, WebMap","GDP, Population, Road grid, Residential area, Public holidays, etc.",,"1 km, 1:100,000",Evaluación de la importancia de los factores en la ocurrencia de incendios forestales,
,,,,,,,,AUC (Área bajo la curva ROC),AUC,,Remote sensing,Vegetation,RESDC,Fractional vegetation cover,,1 km,Zonas mensuales de predicción de incendios forestales,
,,,,,,,,,,,Topograhic,Topographic,RESDC,Slope,,1 km,,
,,,,,,,,,,,Topograhic,Topographic,RESDC,Altitude,,1 km,,
,,,,,,,,,,,Topograhic,Topographic,RESDC,Orientation ,,1 km,,
Kassandra et al - 2024,ML,Decision Trees,DT,No,USA,"Yosemite Valley, California",Datos de los satélites MERRA-2 y Landsat 8 del USGS,F1-Score,F1,No,Remote sensing,,CAL FIRE & US National Park Services,Fire History,Incident Days,,Predicción de la ocurrencia de incendios forestales en el Valle Central de California,
,,Random Forest,RF,,,"Sequoias, California",Historial de incendios de CAL FIRE (2012-2023),,,,Remote sensing,,CAL FIRE & US National Park Services,Latitude,-,,,
,,Naïve Bayes,Naïve Bayes,,,"Kings Canyon, California",,,,,Remote sensing,,CAL FIRE & US National Park Services,Longitude,-,,,
,,Redes neuronales (Neural Networks),RNN,,,,,,,,Meteorological,,MERRA-2 Instantaneous 3D 3-hourly data,Vertical Level,3 hrs. Instantaneous,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Instantaneous 3D 3-hourly data,Air Temperature,3 hrs. Instantaneous,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Instantaneous 3D 3-hourly data,Mass fraction of cloud liquid water,3 hrs. Instantaneous,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Instantaneous 3D 3-hourly data,East Wind,3 hrs. Instantaneous,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Instantaneous 3D 3-hourly data,Mass fraction of cloud ice water,3 hrs. Instantaneous,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Instantaneous 3D 3-hourly data,North Wind,3 hrs. Instantaneous,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Instantaneous 3D 3-hourly data,Relative Humidity,3 hrs. Instantaneous,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Instantaneous 3D 3-hourly data,Specific Humidity,3 hrs. Instantaneous,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Instantaneous 3D 3-hourly data,Ozone Ratio,3 hrs. Instantaneous,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Time Averaged 3-hourly data,Cumulative mass flux,3 hrs. time average,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Time Averaged 3-hourly data,Convective Rainwater,3 hrs. time average,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Time Averaged 3-hourly data,Large scale rainwater,3 hrs. time average,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Time Averaged 3-hourly data,3D flux of ice convective precipitation,3 hrs. time average,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Time Averaged 3-hourly data,3D flux of ice nonconvective precipitation,3 hrs. time average,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Time Averaged 3-hourly data,3D flux of liquid convective precipitation,3 hrs. time average,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Time Averaged 3-hourly data,3D flux of liquid nonconvective precipitation,3 hrs. time average,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Time Averaged 3-hourly data,Evaporation subl. convective precipitation,3 hrs. time average,,,
,,,,,,,,,,,Meteorological,,MERRA-2 Time Averaged 3-hourly data,Evaporation subl. nonconvective precipitation,3 hrs. time average,,,
,,,,,,,,,,,Remote sensing,,USGS Landsat 8 Level 2,Normalized Difference Vegetation Index (NDVI),16 days,,,
Khanmohammadi et al - 2024,ML,Random Forest,RF,No,Canada,Bosques de coníferas canadienses,Datos de incendios experimentales al aire libre en bosques de coníferas canadienses (1960-2019),Exactitud (Accuracy),ACC,No,Topograhic,,,Brecha de estratos de combustible (FSG),,,"Predicción del tipo de propagación de incendios forestales (fuego superficial, fuego de copa pasivo, fuego de copa activo)",
,,XGBoost,XGBoost,,,,,F1-score,F1,,Meteorological,,,Velocidad del viento a 10 m (U10​),,,,
,,AutoGluon,AutoGluon,,,,,Precisión (Precision),PREC,,Meteorological,,,Contenido de humedad del combustible muerto estimado (MCFFMC​),,,,
,,TabPFN,TabPFN,,,,,Recall (exhaustividad),REC,,Meteorological,,,Contenido de humedad del combustible muerto ajustado al rodal (MCSA​),,,,
,,,,,,,,Curva ROC y AUC,AUC,,Meteorological,,,Contenido de humedad foliar (FMC),,,,
,,,,,,,,,,,Meteorological,,,Consumo de combustible superficial (SFC),,,,
Khubayeeb et al - 2024 ,DL,N-BEATS (Neural Basis Expansion Analysis for Time Series),N-BEATS,No,USA,Estados Unidos,Datos de incendios forestales de ArcGIS Hub,Error cuadrático medio (MSE),MSE,No,Topograhic,,,Fecha de inicio del incendio,,,Pronóstico del área total quemada (TAB) por incendios forestales a nivel nacional y estatal en intervalos semanales y mensuales,
,,,,,,,,Error absoluto medio (MAE),MAE,,Topograhic,,,Coordenadas geográficas,,,,
,,,,,,,,,,,Topograhic,,,Acres quemados,,,,
,,,,,,,,,,,Topograhic,,,Tipo de incendio,,,,
Kopitsa et al - 2024 ,ML,Redes Bayesianas (Bayesian Networks),Bayesian Networks,No,Grecia,Grecia,Datos del Servicio Helénico de Bomberos (2014-2023),Classification Error,Classification Error,No,Socio economic,,,Departamento de bomberos,,,"Predicción de la duración de los incendios forestales (corta duración: hasta 6 horas, duración media: hasta 2 días, larga duración: 2 días o más)",
,,Naïve Bayes,Naïve Bayes,,,,,,,,Socio economic,,,Provincia,,,,
,,Regresión Logística (Logistic Regression),Log-Reg,,,,,,,,Socio economic,,,Estación,,,,
,,Redes Neuronales Artificiales (Artificial Neural Networks),ANN,,,,,,,,Topograhic,,,"Área quemada (bosque, arboleda, pastizales, juncos/pantanos, tierras agrícolas, cultivos de cobertura, vertederos de basura)",,,,
,,Algoritmo J48,Algoritmo J48,,,,,,,,Socio economic,,,"Personal (bomberos, voluntarios, ejército)",,,,
,,Random Forest,RF,,,,,,,,Socio economic,,,"Vehículos (camiones de bomberos, tanques)",,,,
,,,,,,,,,,,Socio economic,,,Medios aéreos (helicópteros y aviones),,,,
Li et al - 2024 ,DL,Recurrent Neural Networks (RNN),RNN,No,Not Specified,Not Specified,Landsat,Accuracy,ACC,No,Remote sensing,,MODIS,Surface temperature,,,La salida del modelo de predicción es el nivel de riesgo de incendio para cada área en función de las características fusionadas.,
,,,,,,,MODIS,Recall,REC,,Remote sensing,,Landsat,Vegetation state,,,,
,,,,,,,Sentinel-2,Global Accuracy,GACC,,Remote sensing,,Sentinel-2,Fire traces,,,,
,,,,,,,GOES,,,,Remote sensing,,GOES,Smoke,,,,
,,,,,,,,,,,Socio economic,,,Human activities,,,,
Li et al - 2024 ,DL,Convolutional Block Attention Module (CBAM),CBAM,YOLOv7-tiny,China,"Shangzhi, Harbin, China",Fire-Segmentation-Dataset (FSD),Precision,PREC,Si,Remote sensing,UAVs,,visible light (RGB),,,The output includes segmented wildfire regions and interpreted fire fronts.,https://www.google.com/url?sa=E&source=gmail&q=https://github.com/makemoneyokk/fire-segmentation-interpretation.git
,,,,,,,,Recall,REC,,,,,,,,,
,,,,,,,,F1-score,F1,,,,,,,,,
,,,,,,,,Average Precision (AP),AP,,,,,,,,,
,,,,,,,,Parameters,Parameters,,,,,,,,,
,,,,,,,,Floating Point Operations Per Second (FLOPs),FLOP,,,,,,,,,
,,,,,,,,Frames Per Second (FPS),FPS,,,,,,,,,
Li et al - 2024,ML,attention-augmented long short-term memory network (LSTM),LSTM,No,USA,Western United State,Fire Program Analysis fire occurrence database (1992-2018),F1​-score,F1,No,Socio economic,Fire Program Analysis fire occurrence database,,Wildfire,,1km,The model predicts the probability of large fires (larger than 405 ha) occurring one month in advance.,
,,,,,,,,SHapley Additive explanation (SHAP),SHAP,,Remote sensing,Gridded surface meteorological data (gridMET),,Burned index (BI),,1km,,
,,,,,,,,,,,Remote sensing,Gridded surface meteorological data (gridMET),,Energy release component (ERC),,1km,,
,,,,,,,,,,,Remote sensing,Gridded surface meteorological data (gridMET),,100‐hr dead fuel moisture (FM100),,1km,,
,,,,,,,,,,,Remote sensing,Gridded surface meteorological data (gridMET),,"1,000‐hr dead fuel moisture (FM1000)",,1km,,
,,,,,,,,,,,Meteorological,Gridded surface meteorological data (gridMET),,Temperature (T),,1km,,
,,,,,,,,,,,Meteorological,Gridded surface meteorological data (gridMET),,Relative humidity (RH),,1km,,
,,,,,,,,,,,Meteorological,Gridded surface meteorological data (gridMET),,Evapotranspiration (ET0),,1km,,
,,,,,,,,,,,Meteorological,Gridded surface meteorological data (gridMET),,Precipitation (Pr),,1km,,
,,,,,,,,,,,Meteorological,Gridded surface meteorological data (gridMET),,Vapor pressure deficit (VPD),,1km,,
,,,,,,,,,,,Meteorological,Gridded surface meteorological data (gridMET),,Wind speed (WS),,1km,,
,,,,,,,,,,,Topograhic,Shuttle Radar Topography Mission (SRTM) data,,Topography (Top),,1km,,
,,,,,,,,,,,Topograhic,MODIS annual International Geosphere‐Biosphere Program (IGBP) classification data,,Land cover types,,1km,,
,,,,,,,,,,,Remote sensing,MODIS Net Primary Production data (MYD17A3HGF),,Net primary productivity (NPP),,1km,,
,,,,,,,,,,,Socio economic,Gridded Population of World Version 4 (GPWv4),,Population distribution (Popu),,1km,,
Li et al - 2024 ,DL,U-Net,U-Net,No,China,"Sunshine Island, Hong Kong",A simulated wildfire spread database was created using FlamMap 6 software,Accuracy,ACC,No,Topograhic,,,topography,5min,5m,The models provide a 2D forecast of the wildfire spread with a lead time of 5 hours,
,,ConvLSTM,ConvLSTM,,,,,Speed,Speed,,Topograhic,,,fuel model,5min,5m,,
,,,,,,,,,,,Topograhic,,,canopy cover,5min,5m,,
,,,,,,,,,,,Meteorological,,,temperature,5min,5m,,
,,,,,,,,,,,Meteorological,,,relative humidity,5min,5m,,
,,,,,,,,,,,Meteorological,,,precipitation,5min,5m,,
,,,,,,,,,,,Remote sensing,,,cloud cover,5min,5m,,
,,,,,,,,,,,Socio economic,,,Consulta realizada correctamente,5min,5m,,
,,,,,,,,,,,Meteorological,,,wind speed,5min,5m,,
,,,,,,,,,,,Meteorological,,,wind direction,5min,5m,,
Li et al - 2024 ,ML,Random Forest (RF),RF,No,China,"Yunnan Province, China",NASA Fire Information Resource Management System (FIRMS),Accuracy (ACC),ACC,No,Topograhic,Topography,Geospatial Data Cloud,Altitude,,,The model predicts the risk of forest fires and generates a forest fire susceptibility map.,
,,Extreme Gradient Boosting (XGBoost),XGBoost,,,,Visible Infrared Imaging Radiometer Suite (VIIRS),Area Under the Characteristic Curve (AUC),AUC,,Topograhic,Topography,Geospatial Data Cloud,Slope,,,,
,,Light Gradient Boosting Machine (LightGBM),LightGBM,,,,,Fire Density (FD),FD,,Topograhic,Topography,Geospatial Data Cloud,Aspect,,,,
,,Multilayer Perceptron (MLP),MLP,,,,,,,,Meteorological,Meteorology,China Meteorological Data Network,Average daily air temperature,,,,
,,,,,,,,,,,Meteorological,Meteorology,China Meteorological Data Network,Maximum daily air temperature,,,,
,,,,,,,,,,,Meteorological,Meteorology,China Meteorological Data Network,Average daily relative humidity,,,,
,,,,,,,,,,,Meteorological,Meteorology,China Meteorological Data Network,24-h cumulative precipitation,,,,
,,,,,,,,,,,Meteorological,Meteorology,China Meteorological Data Network,Hours of sunshine,,,,
,,,,,,,,,,,Meteorological,Meteorology,China Meteorological Data Network,Maximum daily wind speed,,,,
,,,,,,,,,,,Meteorological,Meteorology,Forest Fire Weather Index (FWI),Fine fuel moisture content,,,,
,,,,,,,,,,,Meteorological,Meteorology,Forest Fire Weather Index (FWI),Duff moisture content,,,,
,,,,,,,,,,,Meteorological,Meteorology,Forest Fire Weather Index (FWI),Drought code,,,,
,,,,,,,,,,,Remote sensing,Vegetation,Resource and Environment Science and Data Center,Vegetation normalized index,,,,
,,,,,,,,,,,Topograhic,Vegetation,Global Land Cover with Fine Classification System at 30 m in 2020,Vegetation type,,,,
,,,,,,,,,,,Socio economic,Human Activity,Resource and Environment Science and Data Center,Population rate,,,,
,,,,,,,,,,,Socio economic,Human Activity,Resource and Environment Science and Data Center,Distance to roads,,,,
,,,,,,,,,,,Socio economic,Human Activity,Resource and Environment Science and Data Center,,,,,
Li et al - 2024,DL,9-layer fully connected neural network,ANN,No,China,Eastern China,MOD14/MYD14 fire products,Accuracy,ACC,No,Meteorological,Meteorological data,,Daily minimum relative humidity,,-,The model predicts the occurrence of forest fires and generates monthly fire occurrence maps.,
,,,,,,,,Precision,PREC,,Meteorological,Meteorological data,, Mean wind speed,,-,,
,,,,,,,,Recall,REC,,Socio economic,Economic and Social,,Road Network,,1km,,
,,,,,,,,F1 Score,F1,,Socio economic,Economic and Social,,Public Holidays,,1km,,
,,,,,,,,AUC,AUC,,Meteorological,Lightning data,,"Lightning observation data (latitude, longitude, and timestamps)",,-,,
,,,,,,,,,,,Topograhic,Vegetation,,Vegetation type,,1km,,
,,,,,,,,,,,Topograhic,Topographic,,Slope,,1km,,
,,,,,,,,,,,Topograhic,Topographic,,Aspect,,1km,,
,,,,,,,,,,,Topograhic,Topographic,,Elevation,,1km,,
Liu et al - 2024,ML,LightGBM,LightGBM,No,China,"Sichuan and Yunnan provinces, China","Fire point data from the National Institute of Natural Hazards of the Ministry of Emergency Management, China, for the period 2000-2019",Accuracy,ACC,No,Meteorological,GlobeLand30,Daily Average Temperature (Temperatura media diaria),,,30m,The models predict forest fire danger and generate a forest fire danger map,
,,Random Forest (RF),RF,,,,,Recall,REC,,Meteorological,GlobeLand31,Daily Minimum Temperature (Temperatura mínima diaria),,,30m,,
,,Support Vector Machine (SVM),SVM,,,,,Precision,PREC,,Meteorological,GlobeLand32,Daily Maximum Temperature (Temperatura máxima diaria),,,30m,,
,,Gaussian Process (GP),GP,,,,,Balanced F Score (F1),F1,,Meteorological,GlobeLand33,Daily Precipitation (Precipitación diaria),,,30m,,
,,Tree-structured Parzen Estimator (TPE),TPE,,,,,Area Under Curve (AUC),AUC,,Meteorological,GlobeLand34,Daily Average Relative Humidity (Humedad relativa media diaria),,,30m,,
,,,,,,,,,,,Meteorological,GlobeLand35,Daily Average Wind Speed (Velocidad media del viento diaria),,,30m,,
,,,,,,,,,,,Meteorological,GlobeLand36,Daily Maximum Wind Speed (Velocidad máxima del viento diaria),,,30m,,
,,,,,,,,,,,Meteorological,GlobeLand37,Daily Average Pressure (Presión media diaria),,,30m,,
,,,,,,,,,,,Meteorological,GlobeLand38,Surface Solar Radiation Downwards (Radiación solar descendente en la superficie),,,30m,,
,,,,,,,,,,,Meteorological,GlobeLand39,Daily Average Ground Surface Temperature (Temperatura media diaria de la superficie terrestre),,,30m,,
,,,,,,,,,,,Meteorological,GlobeLand40,Daily Maximum Ground Surface Temperature (Temperatura máxima diaria de la superficie terrestre),,,30m,,
,,,,,,,,,,,Topograhic,GlobeLand41,Elevación (Altitud sobre el nivel del mar),,,30m,,
,,,,,,,,,,,Topograhic,GlobeLand42,Pendiente (Inclinación del terreno),,,30m,,
,,,,,,,,,,,Topograhic,GlobeLand43,Orientación de la pendiente (Dirección en la que está orientada una ladera),,,30m,,
,,,,,,,,,,,Topograhic,GlobeLand44,Topographic Wetness Index (Índice de humedad topográfica),,,30m,,
,,,,,,,,,,,Socio economic,GlobeLand45,Distance to Railway (Distancia al ferrocarril),,,30m,,
,,,,,,,,,,,Socio economic,GlobeLand46,Distance to Road (Distancia a la carretera),,,30m,,
,,,,,,,,,,,Socio economic,GlobeLand47,Distance to Settlement (Distancia a asentamientos humanos),,,30m,,
,,,,,,,,,,,Socio economic,GlobeLand48,Population Density (Densidad de población),,,30m,,
,,,,,,,,,,,Socio economic,GlobeLand49,Gross Domestic Product (Producto Interno Bruto),,,30m,,
,,,,,,,,,,,Topograhic,GlobeLand50,Cobertura forestal (Porcentaje de área cubierta por bosques),,,30m,,
Liz-Lopez et al - 2024,DL,CNN,CNN,"pre-trained on a dataset of 100,000 unlabelled samples with atmospheric and environmental variables",Spain,Castilla y León and Andalucía regions in Spain,A dataset of 445 wildfire samples,Mean Absolute Error (MAE),MAE,No,Meteorological,,,wind,Daily,,The model predicts:,https://github.com/helenalizlopez/SpainOnFire
,,,,,,,,,,,Meteorological,,,temperature,Daily,,Burnt surface area,
,,,,,,,,,,,Meteorological,,,radiation,Daily,,Control time,
,,,,,,,,,,,Meteorological,,,ozone,Daily,111km,Extinction time,
,,,,,,,,,,,Meteorological,,,greenness index,10 days,25 km,Human resources needed,
,,,,,,,,,,,Remote sensing,,,burnt area,Daily,,Heavy resources needed,
,,,,,,,,,,,Socio economic,,,control time,Daily,,Aerial resources needed,
,,,,,,,,,,,Socio economic,,,extinction time,Daily,,,
,,,,,,,,,,,Socio economic,,,resources,Daily,,,
Ma et al - 2024 ,ML,Transductive Support Vector Machine (TSVM),TSVM,No,China,"Dayu County, Jiangxi Province, China",132 historical fire locations from the Jiangxi Provincial Meteorological Bureau,Area Under the Curve (AUC),AUC,No,Topograhic,,ASTER GDEM,elevation,,30m,The model predicts forest fire susceptibility and generates a forest fire susceptibility map.,
,,,,,,,,Kappa coefficient,Kappa,,Topograhic,,ASTER GDEM,slope,,30m,,
,,,,,,,,,,,Topograhic,,ASTER GDEM,aspect,,30m,,
,,,,,,,,,,,Topograhic,,ASTER GDEM,plan curvature,,30m,,
,,,,,,,,,,,Topograhic,,ASTER GDEM,profile curvature,,30m,,
,,,,,,,,,,,Meteorological,,Jiangxi Meteorological Bureau,average annual temperature,,30m,,
,,,,,,,,,,,Meteorological,,Jiangxi Meteorological Bureau,average annual wind speed,,30m,,
,,,,,,,,,,,Meteorological,,Jiangxi Meteorological Bureau,average annual precipitation,,30m,,
,,,,,,,,,,,Remote sensing,,Landsat-7 Enhanced Thematic Mapper Plus (ETM+),NDVI,,30m,,
,,,,,,,,,,,Socio economic,,Arcgis,distance to roads,,30m,,
,,,,,,,,,,,Socio economic,,Arcgis,distance to rivers ,,30m,,
Marjani et al - 2024 ,DL,Convolutional Neural Network (CNN),CNN,No,USA,United States,Next Day Wildfire Spread dataset,F1-score,F1,No,Meteorological,,, elevation,,,The model predicts the probability of wildfire spread for each pixel in the study area.,
,,Atrous Spatial Pyramid Pooling (ASPP),ASPP,,,,,Overall Accuracy (OA),OA,,Meteorological,,,wind direction,,,,
,,,,,,,,Precision,PREC,,Meteorological,,,wind speed,,,,
,,,,,,,,Recall,REC,,Meteorological,,,maximum temperature,,,,
,,,,,,,,,,,Meteorological,,,minimum temperature,,,,
,,,,,,,,,,,Meteorological,,,humidity,,,,
,,,,,,,,,,,Meteorological,,,precipitation,,,,
,,,,,,,,,,,Meteorological,,,drought index,,,,
,,,,,,,,,,,Remote sensing,,,normalized difference vegetation index (NDVI),,,,
,,,,,,,,,,,Remote sensing,,, energy release component,,,,
Marjani et al - 2024,DL,CNN-BiLSTM model,CNN-BiLSTM,No,Australia,"Laura, Queensland, Australia",Visible Infrared Imaging Radiometer Suite (VIIRS),Intersection over Union (IoU),IoU,No,Remote sensing,,VIIRS,Active fire,Daily,375 m,"The model predicts the daily wildfire spread, providing a near-real-time prediction of the burned area",
,,,,,,,,F1-score,F1,,Meteorological,,ALWB,Precipitation,Daily,0.05°,,
,,,,,,,,Precision,PREC,,Meteorological,,ALWB,Soil moisture,Daily,0.05°,,
,,,,,,,,Recall,REC,,Meteorological,,ALWB,Runoff,Daily,0.05°,,
,,,,,,,,,,,Meteorological,,ERA-5,Temperature,Daily,0.1°,,
,,,,,,,,,,,Meteorological,,Weather station,Wind speed,Daily,--,,
