Authors,Author full names,Title,Year,Source title,Abstract,Author Keywords,Index Keywords
"Kalantar, B; Ueda, N; Idrees, MO; Janizadeh, S; Ahmadi, K; Shabani, F","Kalantar, Bahareh; Ueda, Naonori; Idrees, Mohammed O.; Janizadeh, Saeid; Ahmadi, Kourosh; Shabani, Farzin",Forest Fire Susceptibility Prediction Based On Machine Learning Models With Resampling Algorithms On Remote Sensing Data,2020,REMOTE SENSING,"This study predicts forest fire susceptibility in Chaloos Rood watershed in Iran using three machine learning (ML) models-multivariate adaptive regression splines (MARS), support vector machine (SVM), and boosted regression tree (BRT). The study utilizes 14 set of fire predictors derived from vegetation indices, climatic variables, environmental factors, and topographical features. To assess the suitability of the models and estimating the variance and bias of estimation, the training dataset obtained from the Natural Resources Directorate of Mazandaran province was subjected to resampling using cross validation (CV), bootstrap, and optimism bootstrap techniques. Using variance inflation factor (VIF), weight indicating the strength of the spatial relationship of the predictors to fire occurrence was assigned to each contributing variable. Subsequently, the models were trained and validated using the receiver operating characteristics (ROC) area under the curve (AUC) curve. Results of the model validation based on the resampling techniques (non, 5- and 10-fold CV, bootstrap and optimism bootstrap) produced AUC values of 0.78, 0.88, 0.90, 0.86 and 0.83 for the MARS model; 0.82, 0.82, 0.89, 0.87, 0.84 for the SVM and 0.87, 0.90, 0.90, 0.90, 0.91 for the BRT model. Across the individual model, the 10-fold CV performed best in MARS and SVM with AUC values of 0.90 and 0.89. Overall, the BRT outperformed the other models in all ramification with highest AUC value of 0.91 using optimism bootstrap resampling algorithm. Generally, the resampling process enhanced the prediction performance of all the models.",machine learning; remote sensing; computational intelligence; bootstrapping; cross validation (CV),PLANTATIONS; PATTERNS
Bera B.; Shit P.K.; Sengupta N.; Saha S.; Bhattacharjee S.,"Bera, Biswajit (57210793090); Shit, Pravat Kumar (55656711000); Sengupta, Nairita (57218290889); Saha, Soumik (57218290404); Bhattacharjee, Sumana (57210809853)","Forest Fire Susceptibility Prediction Using Machine Learning Models With Resampling Algorithms, Northern Part Of Eastern Ghat Mountain Range (india)",2022,Geocarto International,"Periodic forest fires destruct to biodiversity, ecosystem productivity and multiple ecosystem services. Forest fires are currently turning a leading cause of forest degradation. The principal objective of this research is to predict forest fire vulnerable zones over Similipal biosphere reserve (SBR; Odisha) using different machine learning (ML) models, such as support vector machine (SVM), random forest (RF) and multivariate adaptive regression splines (MARS). Different resampling methods (CV and bootstrap) have also been applied for optimizing the result and better accuracy. Results show that 10-fold cross validation (CV) technique performed best on SVM model (AUC = 0.83) whereas bootstrap performed best on RF (AUC = 0.80) and MARS model (AUC= 0.84). The main advantage of MARS model is that it only uses input variable and significantly increases the performance of the model. The novelty of this research is application of various ML algorithms through resampling techniques to reduce the biasness and improves the reliability of the models. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",Biosphere reserve; multivariate adaptive regression splines (MARS); random forest (RF); support vector machine (SVM); sustainability,Eastern Ghats; India; algorithm; biosphere; forest fire; machine learning; mountain region; nature reserve; prediction; support vector machine; sustainability
"Liu, HQ; Hu, HP; Zhou, F; Yuan, HP","Liu, Haiqing; Hu, Heping; Zhou, Fang; Yuan, Huaping",Forest Flame Detection In Unmanned Aerial Vehicle Imagery Based On Yolov5,2023,FIRE-SWITZERLAND,"One of the major responsibilities for forest police is forest fire prevention and forecasting; therefore, accurate and timely fire detection is of great importance and significance. We compared several deep learning networks based on the You Only Look Once (YOLO) framework to detect forest flames with the help of unmanned aerial vehicle (UAV) imagery. We used the open datasets of the Fire Luminosity Airborne-based Machine Learning Evaluation (FLAME) to train the YOLOv5 and its sub-versions, together with YOLOv3 and YOLOv4, under equal conditions. The results show that the YOLOv5n model can achieve a detection speed of 1.4 ms per frame, which is higher than that of all the other models. Furthermore, the algorithm achieves an average accuracy of 91.4%. Although this value is slightly lower than that of YOLOv5s, it achieves a trade-off between high accuracy and real-time. YOLOv5n achieved a good flame detection effect in the different forest scenes we set. It can detect small target flames on the ground, it can detect fires obscured by trees or disturbed by the environment (such as smoke), and it can also accurately distinguish targets that are similar to flames. Our future work will focus on improving the YOLOv5n model so that it can be deployed directly on UAV for truly real-time and high-precision forest flame detection. Our study provides a new solution to the early prevention of forest fires at small scales, helping forest police make timely and correct decisions.",forest fire; forest police; flame detection; YOLOv5; UAV imagery; deep learning,FIRE DETECTION; NETWORK
Gao C.; Lin H.; Hu H.,"Gao, Chao (57221300465); Lin, Honglei (55416877800); Hu, Haiqing (23103103400)","Forest-fire-risk Prediction Based On Random Forest And Backpropagation Neural Network Of Heihe Area In Heilongjiang Province, China",2023,Forests,"Forest fires are important factors that influence and restrict the development of forest ecosystems. In this paper, forest-fire-risk prediction was studied based on random forest (RF) and backpropagation neural network (BPNN) algorithms. The Heihe area of Heilongjiang Province is one of the key forest areas and forest-fire-prone areas in China. Based on daily historical forest-fire data from 1995 to 2015, daily meteorological data, topographic data and basic geographic information data, the main forest-fire driving factors were first analyzed by using RF importance characteristic evaluation and logistic stepwise regression. Then, the prediction models were established by using the two machine learning methods. Furthermore, the goodness of fit of the models was tested using the receiver operating characteristic test method. Finally, the fire-risk grades were divided by applying the kriging method. The results showed that 11 driving factors were significantly correlated with forest-fire occurrence, and days after the last rain, daily average relative humidity, daily maximum temperature, daily average water vapor pressure, daily minimum relative humidity and distance to settlement had a high correlation with the risk of forest-fire occurrence. The prediction accuracy of the two algorithms in regard to fire points was higher than that for nonfire points. The overall prediction accuracy and goodness of fit of the RF and BPNN algorithms were similar. The two methods were both suitable for forest-fire occurrence prediction. The high-fire-risk zones were mainly concentrated in the northwestern and central parts of the Heihe area. © 2023 by the authors.",backpropagation neural network; forest-fire driving factor; forest-fire occurrence prediction; random forest,Deforestation; Ecosystems; Forest Fires; Meteorology; Neural Networks; China; Heihe; Heilongjiang; Deforestation; Ecosystems; Fire hazards; Fires; Learning systems; Meteorology; Neural networks; Back-propagation neural networks; Driving factors; Fire occurrences; Fire risks; Forest fires; Forest-fire driving factor; Forest-fire occurrence prediction; Random forests; Risk predictions; algorithm; artificial neural network; back propagation; forest fire; prediction; risk assessment; Forecasting
Rubí J.N.S.; de Carvalho P.H.P.; Gondim P.R.L.,"Rubí, Jesús N.S. (57211332320); de Carvalho, Paulo H.P. (8445642700); Gondim, Paulo R.L. (25928452400)",Forestry 4.0 And Industry 4.0: Use Case On Wildfire Behavior Predictions,2022,Computers and Electrical Engineering,"Forest industries deserve special attention due to relations between environmental impact and social and economic development. The increase of forest fires caused by the untenable exploitation has motivated the application of concepts such as Industry/Forestry 4.0 and Internet of Forest Things (IoFT) towards improving the performance of current supply chains and assuming an environmental responsibility. This research focuses on the application of IoFT for the prediction of wildfires behavior and proposes a semantic platform for heterogeneous IoFT data aggregation that grants interoperability through semantic technologies. The dataset considered climatic- and vegetation-related data gathered by Brazilian government sensors and satellite information on fires, and Machine Learning predicted the areas affected after a fire event. Both platform and predictions were validated and Random Forest predicted the area with 89% accuracy, showing better performance than Deep Neural Network, with 79%. © 2022",Forestry 4.0; Industry 4.0; IoFT; Machine Learning; Ontology; Platform; Semantic; Wildfires,Decision trees; Deep neural networks; Deforestation; Environmental impact; Fires; Forecasting; Industry 4.0; Supply chains; Behavior prediction; Forest industry; Forestry 4.0; Internet of forest thing; Machine-learning; Ontology's; Performance; Platform; Social and economic development; Wildfire; Semantics
"Jiang, TQ; Bendre, SK; Lyu, HJ; Luo, JB","Jiang, Tanqiu; Bendre, Sidhant K.; Lyu, Hanjia; Luo, Jiebo",From Static To Dynamic Prediction: Wildfire Risk Assessment Based On Multiple Environmental Factors,2021,2021 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),"Wildfire is one of the biggest disasters that frequently occurs on the west coast of the United States. Many efforts have been made to understand the causes of the increases in wildfire intensity and frequency in recent years. In this work, we propose static and dynamic prediction models to analyze and assess the areas with high wildfire risks in California by utilizing a multitude of environmental data including population density, Normalized Difference Vegetation Index (NDVI), Palmer Drought Severity Index (PDSI), tree mortality area, tree mortality number, and altitude. Moreover, we focus on a better understanding of the impacts of different factors so as to inform preventive actions. To validate our models and findings, we divide the land of California into 4,242 grids of 0.1 degrees x 0.1 degrees in latitude and longitude, and compute the risk of each grid based on spatial and temporal conditions. To verify the generalizability of our models, we further expand the scope of wildfire risk assessment from California to Washington without any fine tuning. By performing counterfactual analysis, we uncover the effects of several possible methods on reducing the number of high risk wildfires. Taken together, our study has the potential to estimate, monitor, and reduce the risks of wildfires across diverse areas provided that such environment data is available.",Wildfire prediction; Machine learning; Counterfactual analysis,DROUGHT; FIRE
Shaik R.U.; Alipour M.; Rowell E.; Balaji B.; Watts A.; Taciroglu E.,"Shaik, Riyaaz Uddien (57842938600); Alipour, Mohamad (57211415202); Rowell, Eric (36911926100); Balaji, Bharathan (58224756000); Watts, Adam (8861664900); Taciroglu, Ertugrul (6602889035)",Fuelvision: A Multimodal Data Fusion And Multimodel Ensemble Algorithm For Wildfire Fuels Mapping,2025,International Journal of Applied Earth Observation and Geoinformation,"Accurate assessment of fuel conditions is a prerequisite for fire ignition and behavior prediction, and risk management. The method proposed herein leverages diverse data sources – including L8 optical imagery, S1 (C-band) Synthetic Aperture Radar (SAR) imagery, PL (L-band) SAR imagery, and terrain features – to capture comprehensive information about fuel types and distributions. An ensemble model was trained to predict landscape-scale fuels – such as the ’Scott and Burgan 40’ – using the as-received Forest Inventory and Analysis (FIA) field survey plot data obtained from the USDA Forest Service. However, this basic approach yielded relatively poor results due to the inadequate amount of training data. Pseudo-labeled and fully synthetic datasets were developed using generative AI approaches to address the limitations of ground truth data availability. These synthetic datasets were used for augmenting the FIA data from California to enhance the robustness and coverage of model training. The use of an ensemble of methods – including deep learning neural networks, decision trees, and gradient boosting – offered a fuel mapping accuracy of nearly 80%. Through extensive experimentation and evaluation, the effectiveness of the proposed approach was validated for regions of the 2021 Dixie and Caldor fires. Comparative analyses against high-resolution data from the National Agriculture Imagery Program (NAIP) and timber harvest maps affirmed the robustness and reliability of the proposed approach, which is capable of near-real-time fuel mapping. © 2025 The Authors",Ensemble model; Fuels mapping; Machine learning; Synthetic data generation; Wildfires,California; United States; algorithm; imagery; machine learning; mapping; modeling; synthetic aperture radar; timber harvesting; wildfire
Ntinopoulos N.; Sakellariou S.; Christopoulou O.; Sfougaris A.,"Ntinopoulos, Nikolaos (57941408400); Sakellariou, Stavros (56597865900); Christopoulou, Olga (6505784267); Sfougaris, Athanasios (6602928280)",Fusion Of Remotely-sensed Fire-related Indices For Wildfire Prediction Through The Contribution Of Artificial Intelligence,2023,Sustainability (Switzerland),"Wildfires are a natural phenomenon, which nowadays, due to the synergistic effect of increased human intervention and the escalation of climate change, are displaying an ever-increasing intensity and frequency. The underlying mechanisms present increased complexity, with the phenomenon itself being characterized by a significant degree of stochasticity. For the above reasons, machine learning models and neural networks are being implemented. In the current study, two types of neural networks are implemented, namely, Artificial Neural Networks (ANN) and Radial Basis Function Networks (RBF). These neural networks utilize information from the Fire Weather Index (FWI), Fosberg Fire Weather Index (FFWI), Normalized Difference Vegetation Index (NDVI) and the Normalized Difference Moisture Index (NDMI), aiming to predict ignitions in a region of Greece. All indices have been developed through the Google Earth Engine platform (GEE). In addition, a new index is proposed named “Vegetation-Enhanced FWI” (FWIveg) in order to enhance the FWI with vegetation information from the NDVI. To increase the robustness of the methodology, a genetic algorithm-based approach was used in order to obtain algorithms for the calculation of the new index. Finally, an artificial neural network was implemented in order to predict the Mati wildfire in Attica, Greece (23 July 2018) by applying the new index FWIveg, aiming to assess both the effectiveness of the new index as well as the ability to predict ignition events using neural networks. Results highlight the effectiveness of the two indices in providing joint information for fire prediction through artificial intelligence-based approaches. © 2023 by the authors.",FWI; Google Earth Engine; Greece; NDVI; neural networks; wildfires,Attica; Greece; artificial intelligence; artificial neural network; machine learning; NDVI; remote sensing; wildfire
Nam K.; Jong-Tae K.; Chang-Ju L.; Gyo-Cheol J.,"Nam, Kounghoon (57212314029); Jong-Tae, Kim (58974264800); Chang-Ju, Lee (58974369000); Gyo-Cheol, Jeong (7102664762)",Geoai-based Forest Fire Susceptibility Assessment With Integration Of Forest And Soil Digital Map Data,2024,Journal of Engineering Geology,"This study assesses forest fire susceptibility in Gangwon-do, South Korea, which hosts the largest forested area in the nation and constitutes ~21% of the country’s forested land. With 81% of its terrain forested, Gangwon-do is particularly susceptible to wildfires, as evidenced by the fact that seven out of the ten most extensive wildfires in Korea have occurred in this region, with significant ecological and economic implications. Here, we analyze 480 historical wildfire occurrences in Gangwon-do between 2003 and 2019 using 17 predictor variables of wildfire occurrence. We utilized three machine learning algorithms—random forest, logistic regression, and support vector machine—to construct wildfire susceptibility prediction models and identify the best-performing model for Gangwon-do. Forest and soil map data were integrated as important indicators of wildfire susceptibility and enhanced the precision of the three models in identifying areas at high risk of wildfires. Of the three models examined, the random forest model showed the best predictive performance, with an area-under-the-curve value of 0.936. The findings of this study, especially the maps generated by the models, are expected to offer important guidance to local governments in formulating effective management and conservation strategies. These strategies aim to ensure the sustainable preservation of forest resources and to enhance the well-being of communities situated in areas adjacent to forests. Furthermore, the outcomes of this study are anticipated to contribute to the safeguarding of forest resources and biodiversity and to the development of comprehensive plans for forest resource protection, biodiversity conservation, and environmental management. Copyright 2024 The Korean Society of Engineering Geology.",forest fire susceptibility assessment; forest map; machine learning; random forest; soil map,
He W.; Shirowzhan S.; Pettit C.J.,"He, Wanqin (57742994200); Shirowzhan, Sara (55923557900); Pettit, Christopher James (7003759636)",Gis And Machine Learning For Analysing Influencing Factors Of Bushfires Using 40-year Spatio-temporal Bushfire Data,2022,ISPRS International Journal of Geo-Information,"The causes of bushfires are extremely complex, and their scale of burning and probability of occurrence are influenced by the interaction of a variety of factors such as meteorological factors, topography, human activity and vegetation type. An in-depth understanding of the combined mechanisms of factors affecting the occurrence and spread of bushfires is needed to support the development of effective fire prevention plans and fire suppression measures and aid planning for geographic, ecological maintenance and urban emergency management. This study aimed to explore how bushfires, meteorological variability and other natural factors have interacted over the past 40 years in NSW Australia and how these influencing factors synergistically drive bushfires. The CSIRO’s Spark toolkit has been used to simulate bushfire burning spread over 24 h. The study uses NSW wildfire data from 1981–2020, combined with meteorological factors (temperature, precipitation, wind speed), vegetation data (NDVI data, vegetation type) and topography (slope, soil moisture) data to analyse the relationship between bushfires and influencing factors quantitatively. Machine learning-random forest regression was then used to determine the differences in the influence of bushfire factors on the incidence and burn scale of bushfires. Finally, the data on each influence factor was imported into Spark, and the results of the random forest model were used to set different influence weights in Spark to visualise the spread of bushfires burning over 24 h in four hotspot regions of bushfire in NSW. Wind speed, air temperature and soil moisture were found to have the most significant influence on the spread of bushfires, with the combined contribution of these three factors exceeding 60%, determining the spread of bushfires and the scale of burning. Precipitation and vegetation showed a greater influence on the annual frequency of bushfires. In addition, burn simulations show that wind direction influences the main direction of fire spread, whereas the shape of the flame front is mainly due to the influence of land classification. Besides, the simulation results from Spark could predict the temporal and spatial spread of fire, which is a potential decision aid for fireproofing agencies. The results of this study can inform how fire agencies can better understand fire occurrence mechanisms and use bushfire prediction and simulation techniques to support both their operational (short-term) and strategic (long-term) fire management responses and policies. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",bushfire; fire simulation; GIS; machine learning algorithm; random forest; spatial analysis,
"Bui, DT; Le, HV; Hoang, ND",Dieu Tien Bui; Hung Van Le; Nhat-Duc Hoang,Gis-based Spatial Prediction Of Tropical Forest Fire Danger Using A New Hybrid Machine Learning Method,2018,ECOLOGICAL INFORMATICS,"Forest fire danger map at regional scale is considered of utmost importance for local authority to efficiently allocate its resources to fire prevention measures and establish appropriate land use plans. This study aims at introduce a new machine learning method, named as DFP-MnBpAnn, based on Artificial Neural Network (Ann) with a novel hybrid training algorithm of Differential Flower Pollination (DFP) and mini-match backpropagation (MnBp) for spatial modeling of forest fire danger. Tropical forest of the Lam Dong province (Vietnam) was used as case study. To achieve this task, a Geographical Information System (GIS) database of the forest fire for the study area was established. Accordingly, DFP, as a metaheuristic method, is used to optimize the weights and structure of Ann to fit the GIS database at hand. Whereas, MnBp is employed periodically during the DFP-based optimization process, in which MnBp acts as a local search aiming to accelerate both the quality of the found solutions and the convergence rate. Experimental outcomes demonstrate that the proposed DFP-MnBpAnn model is superior to other benchmark methods with satisfactory prediction accuracy (Classification Accuracy Rate = 88.43%). This fact confirms that DFP-MnBpAnn is a promising alternative for the problem of large-scale forest fire danger mapping.",Forest Fire danger; Geographical Information System; Artificial Neural Network; Differential Flower Pollination; Backpropagation,PARTICLE SWARM OPTIMIZATION; ARTIFICIAL NEURAL-NETWORKS; DIFFERENTIAL EVOLUTION; SUSCEPTIBILITY; ALGORITHMS; MODEL; INFORMATION; VARIABILITY; PROBABILITY; INDICATORS
"Zhang, YL; Mao, JF; Ricciuto, DM; Jin, MZ; Yu, Y; Shi, XY; Wullschleger, S; Tang, RY; Liu, JC","Zhang, Yulong; Mao, Jiafu; Ricciuto, Daniel M.; Jin, Mingzhou; Yu, Yan; Shi, Xiaoying; Wullschleger, Stan; Tang, Rongyun; Liu, Jicheng",Global Fire Modelling And Control Attributions Based On The Ensemble Machine Learning And Satellite Observations,2023,SCIENCE OF REMOTE SENSING,"Contemporary fire dynamics is one of the most complex and least understood land surface phenomena. Global fire controls related to climate, vegetation, and anthropogenic activity are usually intertwined, and difficult to disentangle in a quantitative way. Here, we leveraged an ensemble of five machine learning (ML) models and multiple satellite-based observations to conduct global fire modeling for three fire metrics (burned area, fire number, and fire size), and quantified driving mechanisms underlying annual fire changes in a spatially resolved manner for the period 2003-2019. Ensemble learning is a meta-approach that combines multiple ML predictions to improve accuracy, robustness, and generalization performance. We found that the optimized ensemble ML well reproduced annual dynamics of global burned area (R2 = 0.90, P < 0.001), total fire numbers (R2 = 0.86, P < 0.001), and averaged fire size (R2 = 0.70, P < 0.001). Additionally, the ensemble ML captured key spatial patterns of multi-year mean magnitudes, annual variabilities, anomalies, and trends for different fire metrics. Our ML-based fire attributions further highlighted the dominant role of enhanced anthropogenic activity in reducing global burned area (-1.9 Mha/yr, P < 0.01), followed by climate control (-1.3 Mha/yr, P < 0.01) and insignificant positive vegetation control (0.4 Mha/yr, P = 0.60). Spatially, climate dominated a much larger burned area (53.7%) than human (23.4%) or vegetation control (22.9%); however, the counteracting effects from regional wetting and drying trends weakened the net climate impacts on global burned area. The fire number and fire size exhibited similar spatial control patterns with burned area; globally, however, fire number tended to be more affected by climate while fire size more influenced by human activities. Overall, our study confirmed the feasibility and efficiency of ensemble ML in global fire modeling and subsequent control attributions, providing a better understanding of contemporary fire regimes and contributing to robust fire projections in a changing environment.",Contemporary fire dynamics; Global fire modeling; Fire attributions; Ensemble machine learning; Remote sensing; Climate -vegetation -human controls,BURNED AREA; VEGETATION; CLIMATE; WILDFIRE; CANADA
Shmuel A.; Lazebnik T.; Glickman O.; Heifetz E.; Price C.,"Shmuel, Assaf (57219092013); Lazebnik, Teddy (57220855077); Glickman, Oren (10241032500); Heifetz, Eyal (6602250413); Price, Colin (7403076976)",Global Lightning-ignited Wildfires Prediction And Climate Change Projections Based On Explainable Machine Learning Models,2025,Scientific Reports,"Wildfires pose a significant natural disaster risk to populations and contribute to accelerated climate change. As wildfires are also affected by climate change, extreme wildfires are becoming increasingly frequent. Although they occur less frequently globally than those sparked by human activities, lightning-ignited wildfires play a substantial role in carbon emissions and account for the majority of burned areas in certain regions. While existing computational models, especially those based on machine learning, aim to predict lightning-ignited wildfires, they are typically tailored to specific regions with unique characteristics, limiting their global applicability. In this study, we present machine learning models designed to characterize and predict lightning-ignited wildfires on a global scale. Our approach involves classifying lightning-ignited versus anthropogenic wildfires, and estimating with high accuracy the probability of lightning to ignite a fire based on a wide spectrum of factors such as meteorological conditions and vegetation. Utilizing these models, we analyze seasonal and spatial trends in lightning-ignited wildfires shedding light on the impact of climate change on this phenomenon. We analyze the influence of various features on the models using eXplainable Artificial Intelligence (XAI) frameworks. Our findings highlight significant global differences between anthropogenic and lightning-ignited wildfires. Moreover, we demonstrate that, even over a short time span of less than a decade, climate changes have steadily increased the global risk of lightning-ignited wildfires. This distinction underscores the imperative need for dedicated predictive models and fire weather indices tailored specifically to each type of wildfire. © The Author(s) 2025.",,article; carbon emission; climate change; computer model; explainable artificial intelligence; explainable machine learning; fire; human activities; lightning; machine learning; meteorology; natural disaster; prediction; predictive model; probability; vegetation; weather; wildfire
Ji Y.; Wang D.; Li Q.; Liu T.; Bai Y.,"Ji, Yuheng (58847477400); Wang, Dan (57205388423); Li, Qingliang (57216395702); Liu, Taihui (56131819300); Bai, Yu (59055860400)",Global Wildfire Danger Predictions Based On Deep Learning Taking Into Account Static And Dynamic Variables,2024,Forests,"Climate change will intensify the danger of wildfires, significantly impacting human life. Deep Learning (DL) has been extensively applied in wildfire prediction research. In the realm of wildfire prediction, previous deep learning methods have overlooked the inherent differences between static positional information and dynamic variables. Additionally, most existing deep learning models have not integrated the global system characteristics of the Earth’s features and teleconnection during the learning phase. Here, we propose a static location-aware ConvLSTM (SLA-ConvLSTM) model that is aware of static positional elements and interconnected with global information and teleconnection. The model we propose can discern the influence of dynamic variables across various geographical locations on predictive outcomes. Compared with other deep learning models, our SLA-ConvLSTM model has achieved commendable performance. The outcomes indicate that the collaborative interplay of spatiotemporal features and the extraction of static positional information present a promising technique for wildfire prediction. Moreover, the incorporation of climate indices and global feature variables enhances the predictive capability of the model in wildfire prediction. © 2024 by the authors.",deep learning; SLA-ConvLSTM; spatiotemporal; wildfire,Elements; Fires; Forecasts; Life; Models; Performance; Research; Variables; Climate change; Climate models; Deep learning; Fires; Learning systems; Danger prediction; Deep learning; Dynamic variables; Learning models; Location-aware; Positional information; Spatiotemporal; Static location-aware ConvLSTM; Teleconnections; Wildfire; climate change; learning; prediction; teleconnection; wildfire; Forecasting
Shmuel A.; Heifetz E.,"Shmuel, Assaf (57219092013); Heifetz, Eyal (6602250413)",Global Wildfire Susceptibility Mapping Based On Machine Learning Models,2022,Forests,"Wildfires are a major natural hazard that lead to deforestation, carbon emissions, and loss of human and animal lives every year. Effective predictions of wildfire occurrence and burned areas are essential to forest management and firefighting. In this paper we apply various machine learning (ML) methods on a 0.25◦ monthly resolution global dataset of wildfires. We test the prediction accuracies of four different fire occurrence classifiers: random forest (RF), eXtreme Gradient Boosting (XGBoost), multilayer perceptron (MLP) neural network, and a logistic regression. Our best ML model predicts wildfire occurrence with over 90% accuracy, compared to approximately 70% using a logistic regression. We then train ML regression models to predict the size of burned areas and obtain an MAE score of 3.13 km2, compared to 7.48 km2 using a linear regression. To the best of our knowledge, this is the first study to be conducted in such resolution on a global dataset. We use the developed models to shed light on the influence of various factors on wildfire occurrence and burned areas. We suggest building upon these results to create ML-based fire weather indices. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",fire weather; machine learning; neural networks; random forest; wildfires; XGBoost,Deforestation; Fires; Forecasts; Forest Management; Machinery; Models; Resolution; Test Methods; Decision trees; Deforestation; Fire hazards; Fires; Forecasting; Logistic regression; Multilayer neural networks; Random forests; Burned areas; Fire weather; Global datasets; Logistics regressions; Machine learning models; Machine-learning; Neural-networks; Random forests; Wildfire; Xgboost; artificial neural network; data set; digital mapping; factor analysis; machine learning; numerical model; regression analysis; wildfire; Machine learning
Wang X.; Yao W.,"Wang, Xuke (59417541100); Yao, Wei (59416891700)",Gnss-r-based Wildfire Detection: A Novel And Accurate Method,2024,European Journal of Remote Sensing,"In recent years, global forests have faced frequent wildfires due to climate change, leading to significant ecological and economic losses. Traditional fire monitoring technologies like MODIS and VIIRS are often hindered by cloud cover and smoke. This study explores the potential of Global Navigation Satellite System Reflectometry (GNSS-R) for fire monitoring in complex environments. By analyzing cumulative burned areas in southeastern Brazil, a new fire detection method combining GNSS-R with Convolutional Neural Networks (CNN) is proposed to improve accuracy and response time. Results show high agreement between predicted and actual fire areas, with CNN outperforming Random Forest (RF) by 3.3% in prediction accuracy and achieving a 17.4% increase in model fitting. Error analysis indicates no systematic errors, with CNN exhibiting lower fire detection errors and better spatial alignment with actual conditions than RF, which tends to overestimate. This study provides a novel approach to fire detection using GNSS-R, with significant implications for fire prediction and management strategies. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",convolutional neural networks; fire prediction; Global navigation satellite system-reflectometry; random forest; wildfire detection,Brazil; Deforestation; Fire alarm systems; Fire detectors; Fire hazards; Global positioning system; Premixed flames; Reflectometers; Satellite communication systems; Systematic errors; Tropics; Convolutional neural network; Ecological loss; Fire detection; Fire Monitoring; Fire prediction; Global navigation satellite system-reflectometry; Global Navigation Satellite Systems; Random forests; Reflectometry; Wildfire detection; accuracy assessment; artificial neural network; climate change; cloud cover; detection method; GNSS; machine learning; MODIS; smoke; VIIRS; wildfire; Convolutional neural networks
"Koh, J","Koh, Jonathan",Gradient Boosting With Extreme-value Theory For Wildfire Prediction,2023,EXTREMES,"This paper details the approach of the team Kohrrelation in the 2021 Extreme Value Analysis data challenge, dealing with the prediction of wildfire counts and sizes over the contiguous US. Our approach uses ideas from extreme-value theory in a machine learning context with theoretically justified loss functions for gradient boosting. We devise a spatial cross-validation scheme and show that in our setting it provides a better proxy for test set performance than naive cross-validation. The predictions are benchmarked against boosting approaches with different loss functions, and perform competitively in terms of the score criterion, finally placing second in the competition ranking.",Cross-validation; Generalized Pareto distribution; Gradient boosting; Loss likelihood; Machine learning; Wildfire prediction,MODELS; SIZE; REGRESSION; INFERENCE; PORTUGAL
Phelps N.; Woolford D.G.,"Phelps, Nathan (57211932869); Woolford, Douglas G. (9337992700)",Guidelines For Effective Evaluation And Comparison Of Wildland Fire Occurrence Prediction Models,2021,International Journal of Wildland Fire,"Daily, fine-scale spatially explicit wildland fire occurrence prediction (FOP) models can inform fire management decisions. Many different data-driven modelling methods have been used for FOP. Several studies use multiple modelling methods to develop a set of candidate models for the same region, which are then compared against one another to choose a final model. We demonstrate that the methodologies often used for evaluating and comparing FOP models may lead to selecting a model that is ineffective for operational use. With an emphasis on spatially and temporally explicit FOP modelling for daily fire management operations, we outline and discuss several guidelines for evaluating and comparing data-driven FOP models, including choosing a testing dataset, choosing metrics for model evaluation, using temporal and spatial visualisations to assess model performance, recognising the variability in performance metrics, and collaborating with end users to ensure models meet their operational needs. A case study for human-caused FOP in a provincial fire control zone in the Lac La Biche region of Alberta, Canada, using data from 1996 to 2016 demonstrates the importance of following the suggested guidelines. Our findings indicate that many machine learning FOP models in the historical literature are not well suited for fire management operations.  © 2021 Journal Compilation ",area under curve (AUC); Brier score; logarithmic score; mean absolute error (MAE); model selection; precision-recall curve; receiver operating characteristic curve; visual diagnostics; wildfire occurrence,
